::1 - - [14/Sep/2018:13:46:50 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:51:38 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:51:39 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:51:45 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:51:46 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:49 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:50 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:51 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:52 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:53 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:54 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:55 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:56 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:57 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:52:58 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:53:48 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
::1 - - [14/Sep/2018:13:56:35 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.31 (internal dummy connection)"
